


------- NEW GRAPH -------
Teminja: 26
Rebra: 55
--Teme1--  --Teme2--  --Tezina--
   1        20         28
   2        10         16
   2        11         29
   2        12         14
   3        21         17
   4        13         41
   4        22         46
   5        8         45
   5        9         11
   5        18         18
   6        19         3
   7        14         0
   7        23         48
   8        5         45
   8        20         37
   9        5         11
   9        26         0
   10        2         16
   10        18         49
   11        2         29
   11        17         23
   12        2         14
   12        16         1
   12        19         14
   12        21         6
   12        22         48
   13        4         41
   13        22         36
   13        25         10
   14        7         0
   15        16         2
   16        12         1
   16        15         2
   17        11         23
   18        5         18
   18        10         49
   18        24         18
   19        6         3
   19        22         2
   19        23         9
   20        1         28
   20        8         37
   21        3         17
   21        12         6
   22        4         46
   22        19         2
   23        7         48
   23        19         9
   23        22         -12
   23        24         30
   24        18         18
   24        18         28
   24        23         30
   25        13         10
   26        9         0



------- NEW GRAPH -------
Teminja: 5
Rebra: 10
--Teme1--  --Teme2--  --Tezina--
   1        5         3
   2        3         27
   3        2         25
   3        2         27
   3        4         7
   3        5         13
   4        3         7
   5        1         3
   5        3         13
   5        4         11



------- NEW GRAPH -------
Teminja: 6
Rebra: 11
--Teme1--  --Teme2--  --Tezina--
   1        3         1
   1        6         43
   2        6         19
   3        1         1
   4        5         6
   4        6         -9
   4        6         5
   5        4         6
   6        1         43
   6        2         19
   6        4         5



------- NEW GRAPH -------
Teminja: 12
Rebra: 23
--Teme1--  --Teme2--  --Tezina--
   1        9         3
   1        12         16
   2        3         18
   2        7         16
   3        2         18
   3        11         17
   4        11         6
   5        6         14
   6        5         14
   6        8         47
   7        2         16
   7        10         34
   8        6         47
   8        11         39
   9        1         3
   10        7         34
   10        12         3
   11        3         17
   11        4         6
   11        6         24
   11        8         39
   12        1         16
   12        10         3



------- NEW GRAPH -------
Teminja: 24
Rebra: 63
--Teme1--  --Teme2--  --Tezina--
   1        12         -14
   1        13         1
   1        14         19
   2        13         14
   2        20         1
   3        13         -1
   3        23         10
   4        7         2
   4        16         4
   4        18         32
   4        21         5
   5        12         23
   5        22         30
   6        4         48
   6        15         36
   7        4         2
   7        9         -1
   7        19         46
   8        6         17
   8        16         29
   8        24         15
   9        14         30
   10        13         13
   10        15         11
   10        21         29
   11        9         5
   11        13         -1
   11        20         49
   11        22         37
   12        5         23
   13        2         14
   13        10         13
   14        1         19
   14        5         27
   14        9         30
   14        22         34
   15        6         36
   15        10         11
   15        17         37
   16        4         4
   16        8         29
   16        17         20
   17        15         37
   17        16         20
   18        4         32
   19        7         46
   20        2         1
   20        11         49
   20        12         23
   20        19         24
   21        10         29
   22        5         30
   22        11         37
   22        14         34
   23        2         16
   23        3         10
   23        24         -17
   23        24         27
   24        6         3
   24        7         47
   24        8         15
   24        17         33
   24        23         27



------- NEW GRAPH -------
Teminja: 49
Rebra: 137
--Teme1--  --Teme2--  --Tezina--
   1        22         39
   1        26         20
   1        46         15
   2        11         19
   2        22         18
   2        27         42
   2        42         41
   3        8         18
   3        13         36
   3        30         17
   4        13         11
   4        17         15
   5        6         44
   5        15         48
   5        40         5
   6        5         44
   6        12         45
   7        42         34
   7        46         32
   8        3         18
   8        11         5
   9        18         39
   9        39         6
   9        42         27
   10        13         20
   10        18         40
   10        48         4
   11        2         19
   11        8         5
   11        21         6
   11        30         -19
   11        49         33
   12        5         10
   12        6         45
   13        4         11
   14        10         21
   14        27         12
   15        5         48
   15        36         33
   15        39         39
   16        35         4
   16        43         45
   16        46         20
   17        4         15
   17        36         2
   17        48         50
   18        9         39
   18        34         9
   18        48         3
   19        44         -15
   19        44         17
   20        29         47
   20        38         13
   20        46         6
   21        34         -12
   21        46         49
   22        2         18
   22        14         32
   23        25         33
   23        33         39
   23        41         -8
   23        48         11
   24        14         2
   24        38         29
   25        32         7
   25        42         1
   25        48         40
   26        1         20
   27        2         42
   27        14         12
   28        29         10
   28        40         36
   28        41         29
   28        47         26
   29        28         10
   29        39         12
   30        3         17
   30        24         -12
   30        32         3
   30        40         17
   30        47         7
   31        1         21
   31        47         16
   32        7         5
   32        25         7
   32        30         3
   32        49         -17
   33        23         39
   34        18         9
   34        45         7
   35        16         4
   36        15         33
   36        33         -10
   36        37         20
   36        44         22
   37        1         36
   37        36         20
   38        20         13
   38        24         29
   38        45         8
   39        9         -14
   39        9         6
   39        25         31
   39        29         12
   40        5         5
   40        26         36
   40        28         36
   40        30         17
   40        43         9
   40        46         45
   41        28         29
   42        7         34
   42        25         1
   43        11         49
   43        16         45
   43        40         9
   44        3         5
   44        10         -5
   44        11         -5
   44        19         17
   44        36         22
   45        24         29
   45        26         46
   45        34         7
   45        38         8
   46        1         15
   46        20         6
   46        21         49
   46        33         -1
   47        10         -2
   47        30         7
   47        31         16
   48        10         4
   48        17         50
   48        18         3
   48        23         11
   49        11         33



------- NEW GRAPH -------
Teminja: 35
Rebra: 95
--Teme1--  --Teme2--  --Tezina--
   1        20         48
   1        33         18
   2        9         48
   2        10         6
   2        29         -3
   2        29         12
   3        16         33
   3        31         14
   4        22         -2
   4        28         44
   5        22         46
   6        5         -6
   6        20         3
   6        28         30
   6        29         40
   7        9         16
   7        20         -15
   8        5         22
   8        13         15
   8        15         8
   8        15         23
   9        2         48
   9        5         -13
   9        7         16
   10        2         6
   11        18         6
   11        22         1
   11        31         9
   12        26         9
   12        34         9
   13        8         15
   13        21         38
   13        23         18
   14        7         48
   14        30         17
   14        34         2
   15        8         8
   15        25         7
   15        30         10
   16        17         18
   16        21         -16
   17        16         18
   17        27         12
   17        31         23
   17        32         -11
   18        11         6
   19        25         6
   19        28         40
   20        1         35
   20        22         15
   21        13         38
   21        24         29
   21        32         46
   22        5         46
   22        8         47
   22        20         15
   22        24         12
   22        29         14
   23        27         27
   24        21         29
   24        25         35
   24        26         -13
   24        31         28
   25        24         35
   26        12         9
   26        29         47
   27        17         12
   27        23         27
   27        26         25
   27        28         0
   27        30         19
   28        4         44
   28        6         30
   28        19         40
   28        27         0
   29        2         12
   29        6         40
   29        22         14
   29        26         47
   30        14         17
   30        15         10
   30        27         19
   30        33         8
   31        3         14
   31        11         9
   31        17         23
   31        35         23
   32        5         31
   32        21         46
   32        31         47
   33        1         18
   33        30         8
   33        35         42
   34        12         9
   35        31         23



------- NEW GRAPH -------
Teminja: 28
Rebra: 56
--Teme1--  --Teme2--  --Tezina--
   1        28         21
   2        17         13
   2        25         44
   3        10         38
   3        14         42
   4        28         7
   5        17         41
   6        10         19
   6        20         -17
   7        10         25
   7        18         16
   7        24         45
   8        25         18
   8        27         46
   9        16         39
   9        21         10
   10        3         38
   10        6         19
   10        7         25
   11        16         12
   12        13         36
   13        12         36
   13        27         7
   14        3         42
   14        22         36
   15        23         39
   16        9         39
   16        11         12
   16        28         10
   17        2         13
   17        5         41
   17        20         30
   18        7         16
   18        27         28
   19        27         19
   20        17         30
   20        24         15
   21        9         10
   21        26         2
   22        14         36
   23        15         39
   23        27         19
   24        7         45
   24        20         15
   25        2         44
   25        8         18
   26        21         2
   27        13         7
   27        18         28
   27        19         19
   27        23         19
   27        28         5
   28        1         21
   28        4         7
   28        16         10
   28        27         5



------- NEW GRAPH -------
Teminja: 14
Rebra: 30
--Teme1--  --Teme2--  --Tezina--
   1        14         29
   2        13         20
   3        4         19
   4        3         19
   4        5         11
   4        7         11
   4        9         5
   4        12         -3
   4        12         1
   5        4         11
   5        11         37
   6        12         2
   6        13         23
   7        4         11
   8        13         40
   8        13         42
   9        4         5
   9        8         37
   10        2         -15
   10        14         12
   11        5         37
   12        4         1
   12        6         2
   13        2         20
   13        6         23
   13        8         40
   13        14         19
   14        1         29
   14        10         12
   14        13         19



------- NEW GRAPH -------
Teminja: 17
Rebra: 37
--Teme1--  --Teme2--  --Tezina--
   1        14         30
   2        3         47
   2        14         4
   3        2         47
   3        5         44
   3        6         5
   3        8         49
   4        1         -1
   4        9         2
   4        10         33
   5        3         44
   5        10         -15
   6        3         5
   7        17         33
   8        3         49
   8        12         22
   8        15         4
   9        4         2
   9        13         8
   10        4         33
   10        12         16
   11        13         38
   11        15         3
   11        16         21
   12        8         22
   13        9         8
   13        11         38
   14        1         30
   14        2         4
   14        17         14
   15        6         7
   15        8         4
   15        11         3
   16        11         21
   17        7         33
   17        9         -18
   17        14         14
